method,mean_composite_score,mean_generative_score,mean_extractive_score,mean_llm_judge,mean_token_f1,exact_match_rate,contains_answer_rate,total_tokens,prompt_tokens,completion_tokens,estimated_cost_usd,index_seconds,mean_query_latency_seconds,p95_query_latency_seconds,total_elapsed_seconds,tokens_per_query
semantic_rag,0.24713157213157214,0.48888888888888893,0.005374255374255374,0.2,0.010748510748510747,0.0,0.7777777777777778,47849,44958,2891,0.0,0.1475972080079373,12.263596356555354,16.777052091411313,132.6043166250165,5316.555555555556
rerank_semantic,0.25191570881226055,0.5,0.003831417624521072,0.1111111111111111,0.007662835249042144,0.0,0.8888888888888888,47790,44734,3056,0.0,0.0460670409956947,11.160911171331666,13.10175759178237,119.25796291598817,5310.0
hybrid_rag,0.270499213836478,0.5333333333333333,0.007665094339622642,0.17777777777777778,0.015330188679245285,0.0,0.8888888888888888,53037,48257,4780,0.0,0.047108667000429705,21.512940254890257,25.23529122500913,210.4556385000178,5893.0
frontier_rag,0.22413793103448276,0.4444444444444444,0.003831417624521072,0.1111111111111111,0.007662835249042144,0.0,0.7777777777777778,69076,66083,2993,0.0,0.1242908330168575,16.00593099522262,26.459144450409802,161.1487562090042,7675.111111111111
