method,llm_judge,contains,token_f1,exact_match,generative,extractive,composite,label
hybrid_rag,0.17777777777777778,0.8888888888888888,0.01533018867924527,0.0,0.5333333333333333,0.007665094339622635,0.27049921383647796,Hybrid (vec+graph local)
rerank_semantic,0.1111111111111111,0.8888888888888888,0.007662835249042144,0.0,0.5,0.003831417624521072,0.25191570881226055,Vector + rerank
semantic_rag,0.2,0.7777777777777778,0.010748510748510734,0.0,0.48888888888888893,0.005374255374255367,0.24713157213157214,Semantic (vector)
frontier_rag,0.1111111111111111,0.7777777777777778,0.007662835249042144,0.0,0.4444444444444444,0.003831417624521072,0.22413793103448276,FrontierRAG (adaptive+CRAG)
