method,question_type,n,mean_question_tokens,mean_gold_tokens,mean_composite,mean_judge,mean_latency_s,p95_latency_s,method_label
frontier_rag,comparison_query,3,,,0.16666666666666666,0.0,15.935414610663429,22.155502491595687,FrontierRAG (adaptive+CRAG)
hybrid_rag,comparison_query,3,,,0.31666666666666665,0.26666666666666666,20.160564458667068,21.745256462795076,Hybrid (vec+graph local)
semantic_rag,comparison_query,3,,,0.16666666666666666,0.0,12.03675083333898,16.27057232861116,Semantic (vector)
rerank_semantic,comparison_query,3,,,0.25,0.0,11.133545125000333,12.32078317948035,Vector + rerank
frontier_rag,inference_query,3,53.666666666666664,1.0,0.23908045977011494,0.26666666666666666,12.813480360996133,13.975045020491235,FrontierRAG (adaptive+CRAG)
hybrid_rag,inference_query,3,53.666666666666664,1.0,0.3281643081761006,0.26666666666666666,21.016024791664677,23.72232664170151,Hybrid (vec+graph local)
semantic_rag,inference_query,3,53.666666666666664,1.0,0.30806138306138303,0.5333333333333333,13.914730930671794,16.220112942010747,Semantic (vector)
rerank_semantic,inference_query,3,53.666666666666664,1.0,0.23908045977011494,0.26666666666666666,11.716566652661035,13.277604016585975,Vector + rerank
frontier_rag,temporal_query,3,,,0.26666666666666666,0.06666666666666667,19.2688980140083,27.39276420061651,FrontierRAG (adaptive+CRAG)
hybrid_rag,temporal_query,3,,,0.16666666666666666,0.0,23.362231514339026,25.716872783412693,Hybrid (vec+graph local)
semantic_rag,temporal_query,3,,,0.26666666666666666,0.06666666666666667,10.839307305655288,12.25828434167779,Semantic (vector)
rerank_semantic,temporal_query,3,,,0.26666666666666666,0.06666666666666667,10.632621736333627,11.515903329796856,Vector + rerank
