method,mean_composite_score,mean_llm_judge,mean_token_f1,exact_match_rate,contains_answer_rate,tokens_per_query,n_scored
adaptive_rag,0.42410714285714285,0.375,0.4047619047619047,0.4166666666666667,0.5,0.0,12
frontier_rag,0.41889880952380953,0.375,0.4672619047619047,0.3333333333333333,0.5,0.0,12
graph_local_rag,0.14737428160919538,0.32749999999999996,0.011997126436781608,0.0,0.25,0.0,12
graph_rag,0.11073717948717948,0.18333333333333335,0.009615384615384607,0.0,0.25,0.0,12
hybrid_dense_sparse,0.29389880952380953,0.375,0.21726190476190477,0.16666666666666666,0.4166666666666667,0.0,12
hybrid_rag,0.3495959595959596,0.5666666666666667,0.2483838383838384,0.16666666666666666,0.4166666666666667,0.0,12
lazygraph_rag,0.3276037634516009,0.5666666666666667,0.07708172047307031,0.0,0.6666666666666666,0.0,12
rerank_semantic,0.4255952380952381,0.5,0.36904761904761907,0.3333333333333333,0.5,0.0,12
semantic_rag,0.2858135596484755,0.37880864864864866,0.25114829264795613,0.20216216216216215,0.31113513513513513,0.0,4625
