method,llm_judge,contains,token_f1,exact_match,generative,extractive,composite,label
frontier_rag,0.31428571428571433,0.14285714285714285,0.15038498916049933,0.0,0.2285714285714286,0.07519249458024967,0.1518819615758391,FrontierRAG (adaptive+CRAG)
semantic_rag,0.2942857142857143,0.14285714285714285,0.14836813354209064,0.0,0.21857142857142858,0.07418406677104532,0.14637774767123693,Semantic (vector)
rerank_semantic,0.19999999999999998,0.14285714285714285,0.13402357279908297,0.0,0.17142857142857143,0.06701178639954149,0.11922017891405642,Vector + rerank
hybrid_rag,0.24285714285714285,0.0,0.11070546731990635,0.0,0.12142857142857143,0.05535273365995318,0.08839065254426229,Hybrid (vec+graph local)
