label,method,mean_composite_score,usable_answer_rate,tokens_per_query,quality_per_1k_tokens,mean_query_latency_seconds,p95_query_latency_seconds,meets_latency_slo,meets_quality_bar,index_seconds
Semantic (vector),semantic_rag,0.14637774767123693,0.2857142857142857,4369.714285714285,0.03349824224201185,5.594879898845518,6.684122828682302,False,False,0.12484916602261364
Vector + rerank,rerank_semantic,0.11922017891405645,0.2857142857142857,4531.0,0.02631211187686084,5.185406958281029,6.7835019831924,False,False,0.028284291009185836
Hybrid (vec+graph local),hybrid_rag,0.08839065254426233,0.42857142857142855,5073.142857142857,0.01742325320482756,16.465870244141634,23.066771437405258,False,False,0.02856545799295418
FrontierRAG (adaptive+CRAG),frontier_rag,0.1518819615758391,0.42857142857142855,6901.714285714285,0.022006411057933304,8.470632148856696,20.04781650440417,False,False,0.07062895799754187
